country,year,iso_code,population,gdp,primary_energy_consumption,electricity_generation,renewables_share_energy,fossil_share_energy,low_carbon_share_elec,renewables_share_elec,fossil_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec,nuclear_share_elec,coal_share_elec,gas_share_elec,oil_share_elec,carbon_intensity_elec,gdp_per_capita,renewable_vs_fossil_gap_energy,renewable_vs_fossil_gap_elec,solar_wind_share_elec,clean_share_elec,renewables_share_energy_latest,fossil_share_energy_latest,carbon_intensity_elec_latest,renewables_share_energy_2000,fossil_share_energy_2000,carbon_intensity_elec_2000,renewables_share_energy_change,fossil_share_energy_change,carbon_intensity_change
Brazil,2000,BRA,174018278.0,1739728033832.0,2364.255126953125,348.92999267578125,40.939064025878906,58.333526611328125,91.22460174560548,89.49073028564453,8.775399208068848,0.0,0.0,87.23812866210938,1.7338721752166748,3.132433652877808,1.1664230823516846,4.476542472839356,89.44999694824219,9997.386790782977,-17.39446258544922,80.71533107757568,0.0,91.2246024608612,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2001,BRA,176301201.0,1785513006345.0,2304.05126953125,328.54998779296875,37.18075942993164,61.070533752441406,88.6349105834961,84.28854370117188,11.365089416503906,0.0,0.0091310301795601,81.53401947021484,4.346370697021484,3.372393846511841,3.019327402114868,4.973368167877197,105.73999786376952,10127.628151239876,-23.889774322509766,72.92345428466797,0.0091310301795601,88.63491439819336,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2002,BRA,178503485.0,1861742323845.0,2351.53515625,345.7200012207031,38.819297790527344,59.531681060791016,89.74314880371094,85.73990631103516,10.256855010986328,0.0,0.0173550844192504,82.75193786621094,4.003239631652832,2.637972831726074,3.5896100997924805,4.029272079467773,97.3000030517578,10429.725357154792,-20.712383270263672,75.48305130004883,0.0173550844192504,89.74314594268799,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2003,BRA,180622688.0,1904932706436.0,2386.333984375,364.3900146484375,40.44926452636719,57.98937225341797,90.8312530517578,87.16484832763672,9.168746948242188,0.0,0.0164658725261688,83.87167358398438,3.6664011478424072,2.472625494003296,3.5977933406829834,3.0983285903930664,90.66999816894533,10546.47523812734,-17.54010772705078,77.99610137939453,0.0164658725261688,90.83124947547913,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2004,BRA,182675144.0,2038447931287.0,2503.37255859375,387.489990234375,40.444068908691406,58.26993179321289,89.03197479248047,86.03577423095703,10.968025207519531,0.0,0.0154842706397175,82.78923034667969,2.996206283569336,2.6761982440948486,4.970450878143311,3.321376085281372,101.77999877929688,11158.868615902118,-17.825862884521484,75.0677490234375,0.0154842706397175,89.03198051452637,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2005,BRA,184688101.0,2129214530430.0,2569.062744140625,403.0700073242188,41.26984405517578,57.67403030395508,89.5725326538086,87.1287841796875,10.427468299865724,0.0,0.0223286282271146,83.72242736816406,2.443744421005249,2.6496639251708984,4.666683197021484,3.111122131347656,98.88999938964844,11528.704442253158,-16.404186248779297,76.70131587982178,0.0223286282271146,89.57252860069275,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2006,BRA,186653099.0,2240805319046.0,2641.58251953125,419.4500122070313,41.14651107788086,57.42802429199219,90.03218841552734,86.75408172607422,9.967815399169922,0.0,0.0572177805006504,83.15650939941406,3.278102159500122,2.4961259365081787,4.3533196449279785,3.118369102478028,95.95999908447266,12005.186793314371,-16.281513214111328,76.7862663269043,0.0572177805006504,90.03218388557434,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2007,BRA,188552311.0,2405626901513.0,2810.54345703125,445.1499938964844,42.28472900390625,56.5190315246582,91.00078582763672,88.2264404296875,8.999214172363281,0.0,0.1482646316289901,84.0211181640625,2.774345874786377,2.2644052505493164,3.4819724559783936,3.252835988998413,90.91000366210938,12758.405817221726,-14.234302520751953,79.22722625732422,0.1482646316289901,91.00078630447388,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2008,BRA,190367297.0,2559842659987.0,2936.353759765625,463.1799926757813,41.389286041259766,57.32679748535156,87.33106231689453,84.31495666503906,12.668941497802734,0.0,0.2547605633735657,79.78755950927734,3.016106128692627,2.5821495056152344,6.21356725692749,3.873224496841431,113.62999725341795,13446.861411217074,-15.937511444091797,71.64601516723633,0.2547605633735657,87.33106279373169,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2009,BRA,192079958.0,2589568436235.0,2925.52001953125,466.1700134277344,44.156986236572266,54.652828216552734,91.82701110839844,89.04690551757812,8.172983169555664,0.0,0.2659973800182342,83.87283325195312,2.780101537704468,2.138704776763916,2.8594717979431152,3.17480731010437,87.37000274658203,13481.721170696008,-10.495841979980469,80.87392234802246,0.2659973800182342,91.82700705528259,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2010,BRA,193701931.0,2820492538862.0,3188.734619140625,515.7999877929688,42.50526428222656,56.281063079833984,87.61729431152344,84.80225372314453,12.38270664215088,0.0,0.4226444661617279,78.18728637695312,2.815044641494751,2.188832998275757,7.072508811950684,3.1213650703430176,114.1500015258789,14560.993400019332,-13.775798797607422,72.41954708099365,0.4226444661617279,87.61729836463928,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2011,BRA,195284736.0,2968455007203.0,3316.3232421875,531.760009765625,42.377716064453125,56.37049865722656,90.1384048461914,87.19346618652344,9.861591339111328,0.0,0.5077478289604187,80.54949188232422,2.944937467575073,2.369489908218384,4.720174312591553,2.771927118301392,99.76000213623048,15200.65043487577,-13.992782592773438,77.33187484741211,0.5077478289604187,90.13840365409851,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2012,BRA,196876113.0,3025484250011.0,3408.334716796875,552.5,40.259368896484375,58.5014877319336,85.466064453125,82.56289672851562,14.533937454223633,0.0,0.9140271544456482,75.1746597290039,2.903167486190796,2.619004487991333,8.463348388671875,3.4515836238861084,128.33999633789062,15367.452170345317,-18.242118835449226,68.02895927429199,0.9140271544456482,85.46606421470642,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2013,BRA,198478290.0,3116394665745.0,3500.955078125,570.8300170898438,38.40652084350586,60.44167709350586,79.53155517578125,76.8249740600586,20.46843910217285,0.0,1.1527074575424194,68.4949951171875,2.706584930419922,3.84878134727478,12.087661743164062,4.531997203826904,167.83999633789062,15701.438508690295,-22.03515625,56.35653495788574,1.1527074575424194,79.53155899047852,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
Brazil,2014,BRA,200085126.0,3132099937531.0,3575.63525390625,590.5499877929688,37.56644058227539,61.31813049316406,75.88349914550781,73.27914428710938,24.116500854492188,0.0033866735175251,2.0675642490386963,63.23596954345703,2.6043519973754883,4.555075645446777,13.72788143157959,5.833545207977295,192.94000244140625,15653.836945036084,-23.751689910888672,49.16264343261719,2.0709509225562215,75.88349628448486,48.949893951416016,50.10885238647461,96.26000213623048,40.939064025878906,58.333526611328125,89.44999694824219,8.01082992553711,-8.224674224853516,6.8100051879882955
