country,iso_code,iso_numeric,start_year,latest_year,fossil_share_energy_start,fossil_share_energy_latest,fossil_reduction,renewables_share_energy_latest,population_start,population_latest
Denmark,DNK,208,2000,2024,93.24061584472656,58.27783584594727,34.96277999877929,41.722164154052734,5339659.0,5977417.0
Portugal,PRT,620,2000,2024,87.59070587158203,60.259239196777344,27.331466674804688,39.740760803222656,10283196.0,10425291.0
Finland,FIN,246,2000,2024,63.225563049316406,36.77250671386719,26.45305633544922,38.89441680908203,5176197.0,5617311.0
Ireland,IRL,372,2000,2024,98.07976531982422,77.8196792602539,20.260086059570312,22.180316925048828,3802589.0,5255016.0
Czechia,CZE,203,2000,2024,90.4997100830078,71.68647766113281,18.813232421874986,9.745923042297363,10236809.0,10735857.0
Greece,GRC,300,2000,2024,96.90818786621094,78.9450912475586,17.963096618652344,21.05491065979004,10782638.0,10047813.0
Estonia,EST,233,2000,2024,99.6652374267578,82.0537338256836,17.611503601074205,17.94626235961914,1397001.0,1360548.0
Netherlands,NLD,528,2000,2024,98.02264404296876,80.92969512939453,17.092948913574233,18.1192569732666,16058757.0,18228740.0
United Kingdom,GBR,826,2000,2024,90.02240753173828,73.5428466796875,16.47956085205078,21.292688369750977,59057333.0,69138185.0
Spain,ESP,724,2000,2024,81.9992904663086,65.80428314208984,16.19500732421875,25.862646102905277,41019772.0,47910533.0
Ukraine,UKR,804,2000,2024,84.407958984375,70.00426483154297,14.403694152832031,8.298776626586914,49556654.0,37860221.0
Italy,ITA,380,2000,2024,93.14717864990234,79.06941986083984,14.0777587890625,20.930578231811523,57272200.0,59342870.0
China,CHN,156,2000,2024,94.2689437866211,80.25926208496094,14.009681701660156,17.472375869750977,1269581174.0,1419321284.0
Hungary,HUN,348,2000,2024,85.67926025390625,72.18141174316406,13.497848510742188,12.70595359802246,10190598.0,9676135.0
Chile,CHL,152,2000,2024,81.1439437866211,67.74555206298828,13.398391723632812,32.25444793701172,15503638.0,19764774.0
Romania,ROU,642,2000,2024,86.53299713134766,73.31121063232422,13.221786499023438,19.111818313598636,22046264.0,19015096.0
Belarus,BLR,112,2000,2024,99.97058868408205,86.79056549072266,13.18002319335939,0.9688259363174438,9991310.0,9056696.0
Poland,POL,616,2000,2024,99.3555908203125,86.95472717285156,12.400863647460938,13.045269966125488,38258077.0,38539209.0
Austria,AUT,40,2000,2024,68.73230743408203,56.652645111083984,12.079662322998047,43.347354888916016,8012929.0,9120815.0
Slovenia,SVN,705,2000,2024,68.9066390991211,56.97116470336914,11.935474395751953,24.735876083374023,1986817.0,2118692.0
Australia,AUS,36,2000,2024,96.23548889160156,85.26679229736328,10.968696594238281,14.733205795288086,19132472.0,26713206.0
Sweden,SWE,752,2000,2024,38.228885650634766,27.78983688354492,10.439048767089847,51.31792831420898,8872099.0,10606993.0
France,FRA,250,2000,2024,56.16044998168945,46.13606643676758,10.024383544921875,16.465389251708984,59483716.0,66548532.0
Bulgaria,BGR,100,2000,2024,73.21710968017578,63.29579925537109,9.921310424804695,16.424589157104492,8000519.0,6757686.0
Israel,ISR,376,2000,2024,99.96212768554688,90.20515441894533,9.756973266601548,9.794842720031738,6111194.0,9387015.0
Turkey,TUR,792,2000,2024,89.90442657470703,80.2144546508789,9.689971923828125,19.78554916381836,65425957.0,87473800.0
Germany,DEU,276,2000,2024,85.39959716796875,76.03199005126953,9.367607116699219,23.96800804138184,81797255.0,84552234.0
United Arab Emirates,ARE,784,2000,2024,100.0,90.95289611816406,9.047103881835938,2.5193514823913574,3493583.0,11027135.0
Slovakia,SVK,703,2000,2024,72.90819549560547,63.88258743286133,9.02560806274414,11.29531478881836,5380001.0,5506759.0
Croatia,HRV,191,2000,2024,81.20639038085938,72.2218246459961,8.984565734863281,27.77817153930664,4326105.0,3875325.0
Brazil,BRA,76,2000,2024,58.333526611328125,49.37820053100586,8.955326080322266,49.6159782409668,174018278.0,211998565.0
