country,iso_code,iso_numeric,start_year,latest_year,fossil_share_energy_start,fossil_share_energy_latest,fossil_reduction,renewables_share_energy_latest,population_start,population_latest
Latvia,LVA,428,2000,2024,79.10907745361328,70.33094787597656,8.778129577636719,29.66905212402344,2368320.0,1871874.0
Pakistan,PAK,586,2000,2024,88.69983673095703,81.18033599853516,7.519500732421875,12.50697135925293,154879124.0,251269160.0
United States,USA,840,2000,2024,87.80986785888672,80.3302230834961,7.479644775390625,12.050454139709473,281484126.0,345426566.0
Indonesia,IDN,360,2000,2024,96.30105590820312,89.04580688476562,7.2552490234375,10.954190254211426,216077789.0,283487933.0
New Zealand,NZL,554,2000,2024,64.6361312866211,57.44560623168945,7.190525054931641,42.55439376831055,3857576.0,5213942.0
Switzerland,CHE,756,2000,2024,50.03802490234375,43.17221832275391,6.865806579589837,39.86790084838867,7184003.0,8921979.0
Morocco,MAR,504,2000,2024,98.14851379394533,91.32652282714844,6.821990966796889,8.673474311828613,28423439.0,38081176.0
Sri Lanka,LKA,144,2000,2024,83.1773910522461,76.75025177001953,6.4271392822265625,23.24974822998047,19293056.0,23103561.0
North Macedonia,MKD,807,2000,2024,89.39227294921875,83.96259307861328,5.429679870605469,16.037403106689453,2057254.0,1823011.0
Thailand,THA,764,2000,2024,97.56796264648438,92.59725189208984,4.970710754394531,7.402745723724365,63007815.0,71668010.0
Belgium,BEL,56,2000,2024,81.5132064819336,76.64042663574219,4.872779846191406,11.454360008239746,10251719.0,11738761.0
Malaysia,MYS,458,2000,2024,96.52845001220705,91.71819305419922,4.810256958007827,8.281804084777832,22967817.0,35557670.0
Ecuador,ECU,218,2000,2024,79.42650604248047,74.64244079589844,4.784065246582031,25.357561111450195,12689215.0,18135478.0
South Korea,KOR,410,2000,2024,86.0610580444336,82.46500396728516,3.5960540771484375,4.748178958892822,46766660.0,51717587.0
Argentina,ARG,32,2000,2024,85.9854965209961,82.58321380615234,3.40228271484375,14.802978515625,37213986.0,45696153.0
India,IND,356,2000,2024,92.7778549194336,89.67031860351562,3.1075363159179688,9.146443367004396,1057922731.0,1450935785.0
Venezuela,VEN,862,2000,2024,77.03778076171875,74.1596908569336,2.8780899047851562,25.840307235717773,24526707.0,28405544.0
Vietnam,VNM,704,2000,2024,80.89288330078125,78.46588897705078,2.4269943237304688,21.534109115600582,77154016.0,100987685.0
Uzbekistan,UZB,860,2000,2024,97.24964141845705,95.41827392578124,1.8313674926758097,4.581725120544434,24787052.0,36361859.0
Mexico,MEX,484,2000,2024,91.9853057861328,90.4448699951172,1.5404357910155966,8.250967025756836,98625553.0,130861001.0
South Africa,ZAF,710,2000,2024,96.5623016357422,95.04370880126952,1.5185928344726847,3.5567286014556885,47159715.0,64007187.0
Iran,IRN,364,2000,2024,99.24032592773438,98.0678253173828,1.1725006103515767,1.4326231479644775,66418661.0,91567737.0
Oman,OMN,512,2000,2024,100.0,98.88481903076172,1.1151809692382812,1.115182876586914,2282139.0,5281542.0
Azerbaijan,AZE,31,2000,2024,96.7665023803711,95.69686126708984,1.06964111328125,4.303142070770264,8174784.0,10336577.0
Hong Kong,HKG,344,2000,2024,100.0,98.95189666748048,1.048103332519517,1.048100471496582,6704665.0,7414914.0
Norway,NOR,578,2000,2024,29.206993103027344,28.18802261352539,1.0189704895019531,71.81197357177734,4490864.0,5576656.0
Saudi Arabia,SAU,682,2000,2024,100.0,99.2716064453125,0.7283935546875,0.7283918261528015,16177733.0,33962751.0
Russia,RUS,643,2000,2024,88.58675384521484,88.15936279296875,0.42739105224609375,5.99939489364624,146717784.0,144820421.0
Singapore,SGP,702,2000,2024,99.8271713256836,99.45476531982422,0.372406005859375,0.5452377796173096,4035251.0,5832387.0
Algeria,DZA,12,2000,2024,99.94998931884766,99.75831604003906,0.19167327880859375,0.2416809201240539,30903894.0,46814302.0
Kuwait,KWT,414,2000,2024,100.0,99.92436981201172,0.07563018798828125,0.07562967389822,1954713.0,4934508.0
Turkmenistan,TKM,795,2000,2024,99.99327850341795,99.99333953857422,-6.103515626421085e-05,0.0066617899574339,4582675.0,7494494.0
Trinidad and Tobago,TTO,780,2000,2024,99.94625854492188,99.9892120361328,-0.04295349121092329,0.010788339190185,1319781.0,1507778.0
Bangladesh,BGD,50,2000,2024,98.37517547607422,98.90467834472656,-0.5295028686523438,1.0953214168548584,134544303.0,173562366.0
Kazakhstan,KAZ,398,2000,2024,94.32146453857422,94.88013458251952,-0.5586700439452983,5.119866847991943,15501108.0,20592574.0
Egypt,EGY,818,2000,2024,93.00193786621094,94.22198486328124,-1.2200469970702983,5.778011798858643,73083287.0,116538256.0
Canada,CAN,124,2000,2024,65.85218811035156,67.38941192626953,-1.5372238159179688,27.156591415405277,30891800.0,39742429.0
Japan,JPN,392,2000,2024,81.14391326904297,82.95484161376953,-1.8109283447265625,12.69704818725586,127027794.0,123753041.0
Colombia,COL,170,2000,2024,71.7607421875,73.90711975097656,-2.1463775634765625,26.09288215637207,39089939.0,52886360.0
Iraq,IRQ,368,2000,2024,97.24276733398438,99.41571807861328,-2.1729507446289062,0.5842805504798889,24424060.0,46042015.0
Taiwan,TWN,158,2000,2024,87.9267349243164,91.35281372070312,-3.4260787963867188,6.268245697021484,22332873.0,23213964.0
Peru,PER,604,2000,2024,68.54984283447266,73.34381103515625,-4.793968200683594,26.656190872192383,26598328.0,34217850.0
Philippines,PHL,608,2000,2024,81.271240234375,87.18156433105469,-5.9103240966796875,12.818432807922363,79625401.0,115843663.0
Lithuania,LTU,440,2000,2024,68.78341674804688,76.5860595703125,-7.802642822265625,23.413942337036133,3500410.0,2859112.0
