country,year,iso_code,population,renewables_share_energy,fossil_share_energy,clean_share_elec,fossil_share_elec,transition_gap,carbon_intensity_elec,is_focus_country
Norway,2024,NOR,5576656.0,71.81197357177734,28.18802261352539,98.39226531982422,1.60773766040802,96.7845276594162,30.75,True
Sweden,2024,SWE,10606993.0,51.31792831420898,27.78983688354492,98.79061889648438,1.2093725204467771,97.5812463760376,34.88999938964844,True
Brazil,2024,BRA,211998565.0,49.6159782409668,49.37820053100586,89.44912934303284,10.550877571105955,78.89825177192688,106.05999755859376,True
Austria,2024,AUT,9120815.0,43.347354888916016,56.652645111083984,86.27650451660156,13.72350025177002,72.55300426483154,103.20999908447266,False
New Zealand,2024,NZL,5213942.0,42.55439376831055,57.44560623168945,85.06523132324219,14.934772491455078,70.13045883178711,119.66000366210938,False
Denmark,2024,DNK,5977417.0,41.722164154052734,58.27783584594727,89.2268295288086,10.77316665649414,78.45366287231445,131.3300018310547,True
Switzerland,2024,CHE,8921979.0,39.86790084838867,43.17221832275391,98.54804229736328,1.4519535303115845,97.0960887670517,29.56999969482422,False
Portugal,2024,PRT,10425291.0,39.740760803222656,60.259239196777344,85.20709991455078,14.792899131774902,70.41420078277588,110.5199966430664,False
Finland,2024,FIN,5617311.0,38.89441680908203,36.77250671386719,95.32676315307617,4.673238277435303,90.65352487564087,66.93000030517578,False
Chile,2024,CHL,19764774.0,32.25444793701172,67.74555206298828,69.89692687988281,30.10306930541992,39.79385757446289,265.17999267578125,False
Latvia,2024,LVA,1871874.0,29.66905212402344,70.33094787597656,73.41771697998047,26.582277297973636,46.835439682006836,134.49000549316406,False
Croatia,2024,HRV,3875325.0,27.77817153930664,72.2218246459961,73.14815521240234,26.851852416992188,46.296302795410156,172.6199951171875,False
Canada,2024,CAN,39742429.0,27.156591415405277,67.38941192626953,77.6943769454956,22.305625915527344,55.38875102996826,185.3500061035156,False
Peru,2024,PER,34217850.0,26.656190872192383,73.34381103515625,59.27956008911133,40.72043991088867,18.559120178222656,263.2699890136719,False
Colombia,2024,COL,52886360.0,26.09288215637207,73.90711975097656,64.35836029052734,35.641639709472656,28.716720581054688,285.79998779296875,False
Spain,2024,ESP,47910533.0,25.862646102905277,65.80428314208984,76.80454444885254,23.195457458496094,53.609086990356445,145.88999938964844,False
Venezuela,2024,VEN,28405544.0,25.840307235717773,74.1596908569336,0.0,,,,False
Ecuador,2024,ECU,18135478.0,25.357561111450195,74.64244079589844,71.66666412353516,28.33333396911621,43.333330154418945,209.6999969482422,False
Slovenia,2024,SVN,2118692.0,24.735876083374023,56.97116470336914,76.06224060058594,23.937763214111328,52.12447738647461,230.3999938964844,False
Germany,2024,DEU,84552234.0,23.96800804138184,76.03199005126953,58.38810348510742,41.61189651489258,16.776206970214844,338.3599853515625,True
Lithuania,2024,LTU,2859112.0,23.413942337036133,76.5860595703125,84.10958862304688,15.890410423278809,68.21917819976807,117.80999755859376,False
Sri Lanka,2024,LKA,23103561.0,23.24974822998047,76.75025177001953,0.0,,,,False
Ireland,2024,IRL,5255016.0,22.180316925048828,77.8196792602539,46.02713394165039,53.97286605834961,-7.945732116699219,273.260009765625,True
Vietnam,2024,VNM,100987685.0,21.534109115600582,78.46588897705078,42.28210067749024,57.71790313720703,-15.43580245971679,484.3200073242188,False
United Kingdom,2024,GBR,69138185.0,21.292688369750977,73.5428466796875,64.93172836303711,35.06827163696289,29.86345672607422,216.5,True
Greece,2024,GRC,10047813.0,21.05491065979004,78.9450912475586,49.14004898071289,50.85995101928711,-1.7199020385742188,322.2200012207031,False
Italy,2024,ITA,59342870.0,20.930578231811523,79.06941986083984,50.1626091003418,49.8373908996582,0.32521820068359375,281.45001220703125,False
Turkey,2024,TUR,87473800.0,19.78554916381836,80.2144546508789,45.6143913269043,54.38560485839844,-8.77121353149414,469.739990234375,False
Romania,2024,ROU,19015096.0,19.111818313598636,73.31121063232422,67.20409774780273,32.795902252197266,34.40819549560547,251.3300018310547,False
