country,year,source,share
Brazil,2000,coal,3.132433652877808
Brazil,2001,coal,3.372393846511841
Brazil,2002,coal,2.637972831726074
Brazil,2003,coal,2.472625494003296
Brazil,2004,coal,2.6761982440948486
Brazil,2005,coal,2.6496639251708984
Brazil,2006,coal,2.4961259365081787
Brazil,2007,coal,2.2644052505493164
Brazil,2008,coal,2.5821495056152344
Brazil,2009,coal,2.138704776763916
Brazil,2010,coal,2.188832998275757
Brazil,2011,coal,2.369489908218384
Brazil,2012,coal,2.619004487991333
Brazil,2013,coal,3.84878134727478
Brazil,2014,coal,4.555075645446777
Brazil,2015,coal,4.641960144042969
Brazil,2016,coal,4.434348583221436
Brazil,2017,coal,3.877350091934204
Brazil,2018,coal,3.458653926849365
Brazil,2019,coal,3.423175811767578
Brazil,2020,coal,2.82301664352417
Brazil,2021,coal,3.692870140075684
Brazil,2022,coal,2.12652850151062
Brazil,2023,coal,1.8796249628067017
Brazil,2024,coal,2.1737380027771
China,2000,coal,78.21334075927734
China,2001,coal,76.2525405883789
China,2002,coal,77.54306030273438
China,2003,coal,79.555419921875
China,2004,coal,78.17420196533203
China,2005,coal,79.19776153564453
China,2006,coal,80.343505859375
China,2007,coal,80.95893859863281
China,2008,coal,77.49130249023438
China,2009,coal,78.37960052490234
China,2010,coal,76.85945129394531
China,2011,coal,78.31221008300781
China,2012,coal,75.15107727050781
China,2013,coal,75.06715393066406
China,2014,coal,72.53595733642578
China,2015,coal,69.58662414550781
China,2016,coal,67.76849365234375
China,2017,coal,67.0765380859375
China,2018,coal,66.47721099853516
China,2019,coal,64.7053451538086
China,2020,coal,63.27093505859375
China,2021,coal,62.498680114746094
China,2022,coal,61.19219970703125
China,2023,coal,60.83403396606445
China,2024,coal,57.7740592956543
Denmark,2000,coal,46.499305725097656
Denmark,2001,coal,47.469364166259766
Denmark,2002,coal,46.70077133178711
Denmark,2003,coal,55.05764389038086
Denmark,2004,coal,46.3966178894043
Denmark,2005,coal,42.849220275878906
Denmark,2006,coal,54.07130432128906
Denmark,2007,coal,50.81757736206055
Denmark,2008,coal,47.8618392944336
Denmark,2009,coal,48.80000305175781
Denmark,2010,coal,43.89677429199219
Denmark,2011,coal,39.81771469116211
Denmark,2012,coal,34.478248596191406
Denmark,2013,coal,41.28864288330078
Denmark,2014,coal,34.51935195922852
Denmark,2015,coal,24.70465660095215
Denmark,2016,coal,29.177631378173828
Denmark,2017,coal,20.097087860107425
Denmark,2018,coal,21.747766494750977
Denmark,2019,coal,11.27000331878662
Denmark,2020,coal,10.706788063049316
Denmark,2021,coal,13.274605751037598
Denmark,2022,coal,12.595962524414062
Denmark,2023,coal,7.43898868560791
Denmark,2024,coal,4.974417209625244
Denmark,2025,coal,2.663076162338257
Germany,2000,coal,52.14517593383789
Germany,2001,coal,50.737552642822266
Germany,2002,coal,51.32246017456055
Germany,2003,coal,50.600467681884766
Germany,2004,coal,49.01082611083984
Germany,2005,coal,46.97883605957031
Germany,2006,coal,45.84734725952149
Germany,2007,coal,47.07653427124024
Germany,2008,coal,43.52591323852539
Germany,2009,coal,43.10667037963867
Germany,2010,coal,42.11563491821289
Germany,2011,coal,43.38181686401367
Germany,2012,coal,44.56688690185547
Germany,2013,coal,45.7685546875
Germany,2014,coal,44.34909057617188
Germany,2015,coal,42.58648300170898
Germany,2016,coal,40.80153274536133
Germany,2017,coal,37.43598937988281
Germany,2018,coal,36.08527755737305
Germany,2019,coal,28.57071304321289
Germany,2020,coal,23.74944877624512
Germany,2021,coal,28.445310592651367
Germany,2022,coal,31.740402221679688
Germany,2023,coal,24.773174285888672
Germany,2024,coal,21.5697021484375
Germany,2025,coal,20.73616981506348
India,2000,coal,68.29486083984375
India,2001,coal,69.66336059570312
India,2002,coal,69.99212646484375
India,2003,coal,69.18183135986328
India,2004,coal,66.30341339111328
India,2005,coal,67.91574096679688
India,2006,coal,67.89892578125
India,2007,coal,66.97184753417969
India,2008,coal,69.18313598632812
India,2009,coal,69.55259704589844
India,2010,coal,68.66476440429688
India,2011,coal,67.92951965332031
India,2012,coal,72.31858825683594
India,2013,coal,74.30316162109375
