country,iso_code,start_year,end_year,renewables_share_energy_start,renewables_share_energy_end,renewables_share_energy_change,population_start,population_end
Argentina,ARG,2000,2001,11.556683540344238,15.036309242248535,3.479625701904297,37213986.0,37624817.0
Peru,PER,2000,2001,31.450159072875977,34.39207458496094,2.941915512084961,26598328.0,26964610.0
Portugal,PRT,2000,2001,12.409293174743652,14.857823371887209,2.4485301971435565,10283196.0,10354329.0
Chile,CHL,2000,2001,18.856054306030277,21.06080818176269,2.2047538757324148,15503638.0,15683852.0
Spain,ESP,2000,2001,6.598010063171387,8.709261894226074,2.1112518310546875,41019772.0,41245602.0
Vietnam,VNM,2000,2001,19.107120513916016,21.060718536376957,1.953598022460941,77154016.0,77969357.0
Switzerland,CHE,2000,2001,29.476491928100582,30.747568130493164,1.2710762023925817,7184003.0,7226391.0
Croatia,HRV,2000,2001,18.793607711791992,19.78454971313477,0.990942001342777,4326105.0,4301079.0
China,CHN,2000,2001,5.335687637329102,6.251406669616699,0.9157190322875977,1269581174.0,1278725061.0
France,FRA,2000,2001,6.409308433532715,7.072253704071045,0.6629452705383301,59483716.0,59905131.0
Slovakia,SVK,2000,2001,5.923003673553467,6.479548454284668,0.5565447807312012,5380001.0,5379439.0
Morocco,MAR,2000,2001,1.851485133171081,2.328437328338623,0.47695219516754195,28423439.0,28814646.0
Italy,ITA,2000,2001,6.852819919586182,7.294962882995605,0.44214296340942294,57272200.0,57305760.0
Indonesia,IDN,2000,2001,3.698946237564087,4.095854759216309,0.3969085216522217,216077789.0,219097905.0
Colombia,COL,2000,2001,28.239261627197266,28.572120666503903,0.3328590393066371,39089939.0,39709263.0
Denmark,DNK,2000,2001,6.7593865394592285,7.064914226531982,0.3055276870727539,5339659.0,5358825.0
Russia,RUS,2000,2001,6.353991508483887,6.594601631164551,0.24061012268066406,146717784.0,146117290.0
Bangladesh,BGD,2000,2001,1.6248265504837036,1.8306201696395876,0.205793619155884,134544303.0,136805810.0
